state,acc_length,area_code,intl_plan,vmail_plan,num_vm_msgs,ttl_day_mins,ttl_day_calls,ttl_day_charge,ttl_eve_mins,ttl_eve_calls,ttl_eve_charge,ttl_ngt_mins,ttl_ngt_calls,ttl_ngt_charge,ttl_intl_mins,ttl_intl_calls,ttl_intl_charge,cust_service_calls,churn,total_calls,total_mins,total_charge,day_call_ratio,intl_ratio
IA,66,510,no,no,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,False,383,630.0,68.99,0.3524804177545692,0.009841269841269842
WY,104,408,no,no,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,False,345,532.1,54.58,0.3855072463768116,0.023867694042473218
NV,160,415,no,no,0,176.2,90,29.95,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,False,304,645.3,60.97,0.29605263157894735,0.014256934759026809
WI,129,415,no,yes,37,205.0,94,34.85,165.4,103,14.06,185.0,81,8.32,11.7,8,3.16,1,False,286,567.1,60.39,0.32867132867132864,0.020631281960853464
AL,93,408,no,no,0,267.9,114,45.54,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3,True,281,764.8999999999999,79.36999999999999,0.40569395017793597,0.01477317296378612
HI,169,415,no,no,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,False,339,592.9,58.31,0.3274336283185841,0.016697588126159554
MO,58,415,no,no,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,False,361,570.3,55.55,0.40166204986149584,0.026126600035069263
CA,75,510,no,yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,False,363,669.1999999999999,59.38,0.36363636363636365,0.019575612671846983
MO,45,408,no,no,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,False,303,590.4999999999999,61.419999999999995,0.23432343234323433,0.0209991532599492
CT,155,510,no,no,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,False,323,438.2,49.74,0.33436532507739936,0.020310360565951622
MD,52,415,no,no,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,False,324,545.6,59.86000000000001,0.35185185185185186,0.018145161290322582
OH,119,415,no,yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,False,344,645.9,69.81,0.37209302325581395,0.017185322805387832
NV,86,510,no,no,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,False,263,514.4000000000001,48.830000000000005,0.2737642585551331,0.015940902021772934
MD,42,408,no,no,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,False,324,585.0,61.44,0.27469135802469136,0.006837606837606838
NE,127,510,yes,no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,False,341,647.6999999999999,61.81,0.3343108504398827,0.011425042457928055
OH,123,408,no,no,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,False,338,629.5,54.870000000000005,0.4437869822485207,0.023669579030976967
MA,98,510,no,no,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3.0,4,True,345,757.6,78.13,0.34492753623188405,0.014651531151003167
OK,149,510,no,yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,False,284,633.6999999999999,63.79,0.27816901408450706,0.017200568092157174
MA,160,408,no,no,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1,False,304,719.7,64.77000000000001,0.35855263157894735,0.012922050854522717
WA,103,415,no,no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,False,318,558.6999999999999,58.5,0.33647798742138363,0.018614641131197426
HI,132,415,no,yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,False,328,557.9,56.309999999999995,0.3902439024390244,0.01631116687578419
CO,137,415,no,no,0,127.0,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,False,311,601.6,57.57000000000001,0.3440514469453376,0.012466755319148936
FL,129,415,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,False,313,589.1999999999999,69.44,0.24920127795527156,0.010013577732518672
WI,62,415,no,no,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,False,248,519.5,64.93,0.2661290322580645,0.0
ID,122,510,no,yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,False,318,672.9,75.61,0.3018867924528302,0.01753603804428593
WY,32,408,no,no,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,False,255,570.3,56.78,0.3215686274509804,0.01788532351394003
GA,86,510,no,no,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,False,329,623.0,53.160000000000004,0.24924012158054712,0.010754414125200642
FL,130,415,no,no,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,False,367,575.2,59.47,0.3079019073569482,0.012517385257301807
WY,42,408,no,no,0,146.3,84,24.87,255.9,113,21.75,45.0,117,2.03,8.0,12,2.16,1,False,326,455.20000000000005,50.81,0.25766871165644173,0.017574692442882248
DE,73,415,no,no,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15.0,7,4.05,2,False,274,567.1,66.49,0.3102189781021898,0.026450361488273674
ME,66,408,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,False,341,694.3000000000001,74.05,0.31671554252199413,0.007777617744490854
DC,103,510,no,yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,False,329,501.7,45.599999999999994,0.3768996960486322,0.01773968507075942
IA,128,408,no,no,0,158.8,75,27.0,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,False,250,701.2,63.71,0.3,0.010838562464346833
CO,104,415,no,no,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,False,306,657.8,63.29,0.369281045751634,0.008361204013377928
MN,103,415,no,no,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,False,331,432.59999999999997,48.77,0.338368580060423,0.028663892741562648
VT,124,415,no,no,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0,False,299,603.4,61.5,0.2408026755852843,0.019887305270135897
AZ,87,510,no,no,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,False,342,483.09999999999997,43.33,0.26608187134502925,0.012833781825708964
LA,109,415,no,yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,True,278,597.7,59.370000000000005,0.3057553956834532,0.0205788857286264
MO,167,415,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,False,309,493.0,57.63,0.29449838187702265,0.021703853955375253
ME,97,510,no,no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,True,263,496.6,46.910000000000004,0.3650190114068441,0.02396294804671768
MD,106,415,no,no,0,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,2,False,315,571.0,56.67,0.3746031746031746,0.0148861646234676
VT,125,415,no,no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,False,363,502.79999999999995,47.93,0.31129476584022037,0.028639618138424826
DC,108,408,no,yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,False,327,627.4,66.73,0.3241590214067278,0.024705132291998725
WY,125,415,no,no,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8.0,2,2.16,1,False,337,621.8,55.68000000000001,0.3916913946587537,0.01286587327114828
VA,89,415,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,False,316,692.6000000000001,69.35,0.3575949367088608,0.012561362980075076
VA,72,510,yes,yes,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,False,299,504.5,46.96,0.38127090301003347,0.010901883052527254
CT,23,510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,True,383,725.6,85.46,0.2793733681462141,0.015573318632855567
HI,149,510,no,no,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,False,305,601.9000000000001,58.5,0.2,0.013623525502575175
WI,73,415,no,no,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,False,288,574.8,61.84,0.3125,0.010264439805149619
MD,61,415,no,no,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,True,323,714.2,75.08000000000001,0.38080495356037153,0.012601512181461775
WV,161,415,no,no,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,True,311,481.0,51.489999999999995,0.3633440514469453,0.02785862785862786
VT,73,408,no,no,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,False,291,551.5,62.040000000000006,0.32646048109965636,0.024478694469628286
UT,118,415,no,yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,False,230,490.09999999999997,45.010000000000005,0.36086956521739133,0.034482758620689655
CO,23,408,no,no,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,False,274,591.4000000000001,60.41,0.3248175182481752,0.025363544132566786
NC,127,415,no,yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,False,314,515.5,41.150000000000006,0.30254777070063693,0.009893307468477205
NJ,42,415,no,yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,False,314,540.1,53.72,0.25477707006369427,0.01499722273653027
AR,118,415,no,no,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,True,368,807.2,85.7,0.39402173913043476,0.017839444995044598
IA,45,510,no,no,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,False,273,453.80000000000007,47.60000000000001,0.3333333333333333,0.023358307624504183
GA,50,408,no,yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,False,318,827.2,77.98,0.4056603773584906,0.01281431334622824
MO,179,510,no,no,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0,True,353,851.8,88.13000000000001,0.34844192634560905,0.012326837285747828
MO,152,408,no,no,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,False,336,448.8,40.2,0.3630952380952381,0.016711229946524065
WY,105,415,no,no,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,False,317,625.8000000000001,55.24,0.2334384858044164,0.021093000958772767
HI,72,415,no,no,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,False,283,528.9,43.93000000000001,0.34275618374558303,0.01569294762715069
PA,52,408,no,no,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,False,307,780.9000000000001,71.98000000000002,0.2182410423452769,0.006658983224484568
TX,125,415,no,no,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1,False,324,533.6,57.059999999999995,0.3395061728395062,0.02061469265367316
VA,143,510,no,no,0,110.1,113,18.72,169.0,59,14.37,166.7,94,7.5,9.2,2,2.48,1,False,268,455.0,43.06999999999999,0.4216417910447761,0.020219780219780218
RI,65,415,no,no,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1,False,238,537.1999999999999,47.83,0.21428571428571427,0.008190618019359644
WI,80,415,no,no,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,False,283,755.8,71.78000000000002,0.4275618374558304,0.012304842550939403
MS,1,415,no,no,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,False,255,489.8,47.74999999999999,0.4196078431372549,0.028174765210289915
KY,60,408,no,no,0,135.4,134,23.02,205.9,85,17.5,204.0,103,9.18,7.9,4,2.13,1,False,326,553.1999999999999,51.83,0.4110429447852761,0.014280549530007233
NC,43,415,no,no,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,False,318,371.90000000000003,32.92,0.42138364779874216,0.02904006453347674
NV,143,415,no,no,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0,False,303,508.79999999999995,56.42999999999999,0.41914191419141916,0.027515723270440252
UT,81,415,no,yes,24,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0,False,306,476.8,48.129999999999995,0.38235294117647056,0.023909395973154363
ME,205,510,no,yes,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2,False,306,519.3,53.31,0.4542483660130719,0.015020219526285385
HI,24,415,no,no,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,False,326,608.2,64.88999999999999,0.31901840490797545,0.010851693521867805
OH,74,415,no,no,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,False,329,640.3999999999999,57.26,0.3221884498480243,0.015302935665209249
WV,77,510,no,no,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1,False,293,511.9,42.02,0.23208191126279865,0.02344207853096308
OK,74,415,no,no,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10.0,2,2.7,1,False,312,671.7,69.89,0.27884615384615385,0.014887598630340925
KY,74,510,yes,no,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,True,346,555.0,52.18,0.2976878612716763,0.025405405405405406
AL,200,408,no,no,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,False,317,450.2,44.120000000000005,0.2744479495268139,0.024877832074633496
MD,86,408,no,no,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4,False,290,717.9,72.44000000000001,0.30344827586206896,0.01810837163950411
NE,91,510,no,yes,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,False,320,682.8000000000001,62.43,0.334375,0.01347393087287639
DC,76,415,no,no,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,False,294,562.8000000000001,60.8,0.41156462585034015,0.011904761904761904
TX,130,415,no,no,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,False,288,594.5999999999999,52.62,0.4409722222222222,0.024049781365623954
OH,56,408,no,no,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,False,302,582.9999999999999,47.47,0.2980132450331126,0.020411663807890227
DE,117,415,no,no,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,False,354,630.5,62.629999999999995,0.3870056497175141,0.02458366375892149
IA,63,510,no,no,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,False,286,677.5,62.64,0.28321678321678323,0.00959409594095941
VT,126,415,no,no,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,False,314,581.8,61.51,0.2802547770700637,0.011000343760742525
OR,132,510,no,no,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,False,324,683.4,65.85,0.33024691358024694,0.018437225636523266
NV,81,415,no,yes,28,167.9,147,28.54,190.7,105,16.21,193.0,103,8.69,9.2,6,2.48,4,True,361,560.8000000000001,55.919999999999995,0.407202216066482,0.016405135520684733
NC,122,415,no,no,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,False,291,570.2,56.56,0.3024054982817869,0.02016836197825324
NJ,46,408,no,no,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,True,270,736.3,78.77000000000001,0.24814814814814815,0.018199103626239305
MN,150,415,no,yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,False,289,556.9,56.129999999999995,0.25951557093425603,0.019752199676782187
ID,99,408,no,no,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,False,321,579.1999999999999,54.14,0.2585669781931464,0.01450276243093923
AL,87,408,no,no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,False,295,644.0999999999999,70.01,0.42033898305084744,0.01707809346374787
AK,108,415,no,no,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,False,324,523.4,47.9,0.39814814814814814,0.015093618647306076
VT,101,415,no,no,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,False,257,595.7,58.0,0.3463035019455253,0.019472889038106428
PA,53,415,no,no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,False,325,525.8000000000001,58.129999999999995,0.26461538461538464,0.020349942944085198
AK,132,415,no,yes,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,False,308,597.0,58.25,0.30194805194805197,0.014405360134003349
CA,158,510,no,no,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2,False,359,609.7,57.830000000000005,0.3426183844011142,0.014105297687387238
MS,114,415,no,yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,False,359,594.5999999999999,57.230000000000004,0.30362116991643456,0.01732256979482005
AR,77,415,no,yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,False,250,605.9,62.43,0.292,0.011718105297903944
NV,144,415,yes,no,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,False,278,635.9,60.919999999999995,0.24820143884892087,0.014782198458877183
AL,91,510,no,yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,False,316,621.1999999999999,67.21,0.3069620253164557,0.019800386349001935
GA,58,408,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,False,310,487.70000000000005,50.13,0.3225806451612903,0.026245642813204836
AR,5,415,no,no,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,False,206,613.8,63.0,0.5145631067961165,0.021668295861844253
MA,97,408,no,no,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,False,245,693.0,72.14,0.3306122448979592,0.006060606060606061
NJ,107,415,no,no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,False,296,589.7,60.79,0.32094594594594594,0.013057486857724267
MO,142,415,no,yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,False,260,600.5999999999999,55.339999999999996,0.28846153846153844,0.017982017982017987
NY,9,408,no,yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,False,332,600.8999999999999,62.36,0.39156626506024095,0.022133466466966224
AZ,73,415,no,no,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,False,324,558.1,59.709999999999994,0.4012345679012346,0.02185988174162336
NJ,48,510,no,yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,True,308,689.7,63.92000000000001,0.20454545454545456,0.02276352037117587
WV,43,408,no,no,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,False,371,554.5,63.26,0.39622641509433965,0.01659152389540126
NM,122,408,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,True,327,601.2,61.88999999999999,0.3149847094801223,0.022455089820359278
SC,93,415,no,no,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,False,228,591.1999999999999,62.85,0.2982456140350877,0.014884979702300408
VT,85,415,no,no,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,False,296,632.4,62.1,0.41216216216216217,0.018184693232131562
TN,59,415,no,no,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3,False,262,690.5,62.35,0.36259541984732824,0.00724112961622013
LA,87,415,no,no,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,False,282,557.5999999999999,62.86,0.3191489361702128,0.021162123385939747
OH,137,408,no,no,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,False,285,466.00000000000006,49.0,0.3157894736842105,0.026394849785407723
OR,21,510,no,yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,False,270,595.5,56.77,0.3333333333333333,0.01595298068849706
DE,129,510,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,True,311,727.8,84.56,0.37942122186495175,0.014289640010992033
KY,104,415,no,no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,False,263,539.4,48.76,0.29277566539923955,0.024100852799406748
GA,93,408,no,yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,True,325,495.09999999999997,48.209999999999994,0.3230769230769231,0.023833568975964455
VT,63,415,no,no,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,True,338,781.6,83.52000000000001,0.30177514792899407,0.016760491299897644
OR,161,415,no,no,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,False,323,551.6,48.35000000000001,0.21671826625386997,0.014140681653372008
TX,50,510,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,False,330,556.2,59.4,0.28484848484848485,0.020855807263574253
MO,103,408,no,yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,False,272,626.6,53.31,0.3125,0.01101180976699649
ND,84,415,no,yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,False,333,535.3,52.89,0.3183183183183183,0.024285447412665796
MN,92,510,no,no,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,False,332,667.3,67.59,0.31626506024096385,0.013487187172186424
NV,77,415,no,no,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,False,306,655.0,61.74000000000001,0.3660130718954248,0.015114503816793894
NY,64,415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,True,245,884.9999999999999,96.15,0.22448979591836735,0.015028248587570623
FL,159,415,no,yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,False,394,466.20000000000005,43.68,0.25888324873096447,0.02531102531102531
KS,110,415,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,True,285,717.6,78.17,0.36140350877192984,0.011566332218506132
NV,138,510,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,False,364,528.1,53.620000000000005,0.32142857142857145,0.03219087294073092
NV,178,408,no,no,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,False,341,623.6,73.05,0.4398826979472141,0.02180885182809493
SC,38,415,no,yes,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,False,294,749.9,69.26,0.4013605442176871,0.005200693425790106
MI,50,415,no,yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,False,301,551.9,56.09000000000001,0.3222591362126246,0.014314187352781301
MI,45,510,no,yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,False,331,313.3,33.32,0.31419939577039274,0.024577082668368975
TN,70,510,no,no,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,False,303,533.4,47.620000000000005,0.32673267326732675,0.01799775028121485
NY,147,510,no,yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,False,310,709.4,75.07,0.34516129032258064,0.014660276289822386
NV,94,510,no,no,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,False,305,495.09999999999997,53.88999999999999,0.3540983606557377,0.015148454857604526
IL,179,510,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,False,308,511.4,48.21,0.32792207792207795,0.02268283144309738
MS,116,415,no,no,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,False,265,592.8,65.02,0.3433962264150943,0.01906207827260459
ND,59,510,no,no,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,False,287,602.4000000000001,62.14,0.2787456445993031,0.024402390438247008
NC,165,415,no,no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,False,297,434.9,53.900000000000006,0.367003367003367,0.01816509542423546
MI,133,408,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,True,362,635.8,75.28999999999999,0.3812154696132597,0.02013211701793017
TN,140,415,no,no,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,False,303,561.9,49.550000000000004,0.27722772277227725,0.014949279231179927
VT,93,408,no,yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,False,281,551.0999999999999,50.290000000000006,0.3238434163701068,0.01233895844674288
OK,52,510,no,yes,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0,False,274,575.4000000000001,57.93000000000001,0.32116788321167883,0.01425095585679527
DE,64,415,no,yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,False,320,507.6,56.519999999999996,0.315625,0.024231678486997636
ND,12,510,yes,no,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2,False,357,563.0,59.29,0.3277310924369748,0.017406749555950268
OR,48,415,no,no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,False,294,649.5999999999999,67.6,0.3129251700680272,0.012777093596059117
NY,181,408,no,no,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,False,251,568.1,52.65,0.36254980079681276,0.010561520859003696
MO,168,415,no,yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,False,281,486.29999999999995,44.779999999999994,0.20284697508896798,0.023442319555829736
FL,155,415,no,no,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,False,328,528.9,55.72,0.3384146341463415,0.021365097371903955
ND,105,510,no,no,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,False,339,675.4,72.31,0.2448377581120944,0.005626295528575659
NY,11,415,no,no,0,143.4,130,24.38,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2,False,286,636.5,60.330000000000005,0.45454545454545453,0.015239591516103691
